,Rate
AED,3.995134
AFN,96.928176
ALL,116.739848
AMD,430.751967
ANG,1.960765
AOA,548.798945
ARS,201.487003
AUD,1.530309
AWG,1.957863
AZN,1.847095
BAM,1.955995
BBD,2.196685
BDT,115.325528
BGN,1.95539
BHD,0.410116
BIF,2257.170405
BMD,1.087702
BND,1.429421
BOB,7.517934
BRL,5.534439
BSD,1.087992
BTC,4.745452e-05
BTN,88.687681
BWP,13.894972
BYN,2.746732
BYR,21318.954375
BZD,2.193085
CAD,1.448694
CDF,2223.26193
CHF,1.002779
CLF,0.031474
CLP,868.477011
CNY,7.378426
COP,4924.286888
CRC,612.041629
CUC,1.087702
CUP,28.824096
CVE,110.274302
CZK,23.824748
DJF,193.686339
DKK,7.438036
DOP,61.76421
DZD,147.608737
EGP,32.510426
ERN,16.315526
ETB,58.374324
EUR,1.0
FJD,2.341223
FKP,0.879452
GBP,0.879249
GEL,2.876982
GGP,0.879452
GHS,13.490938
GIP,0.879452
GMD,67.217025
GNF,9371.290521
GTQ,8.54062
GYD,229.559365
HKD,8.515294
HNL,26.832263
HRK,7.659811
HTG,162.011667
HUF,388.607015
IDR,16297.524843
ILS,3.73805
IMP,0.879452
INR,88.782027
IQD,1587.92395
IRR,45901.014198
ISK,154.88894
JEP,0.879452
JMD,167.244108
JOD,0.772234
JPY,141.293516
KES,135.332099
KGS,93.705376
KHR,4463.976562
KMF,492.403645
KPW,978.900464
KRW,1343.159167
KWD,0.332053
KYD,0.906676
KZT,500.85225
LAK,18320.445433
LBP,1645.038768
LKR,396.023607
LRD,170.497131
LSL,18.71968
LTL,3.211701
LVL,0.65794
LYD,5.170036
MAD,11.071034
MDL,20.405021
MGA,4637.5112
MKD,61.55285
MMK,2284.751432
MNT,3786.75537
MOP,8.77204
MRO,388.309339
MUR,49.11482
MVR,16.695905
MWK,1117.472265
MXN,20.411958
MYR,4.616753
MZN,69.427764
NAD,18.71985
NGN,500.647437
NIO,39.754354
NOK,10.751029
NPR,141.89997
NZD,1.677791
OMR,0.418783
PAB,1.087992
PEN,4.171552
PGK,3.833623
PHP,59.356974
PKR,272.53819
PLN,4.708492
PYG,8022.976784
QAR,3.960323
RON,4.891367
RSD,117.365759
RUB,75.578962
RWF,1174.679091
SAR,4.082492
SBD,8.967648
SCR,14.573306
SDG,630.302928
SEK,11.198308
SGD,1.429229
SHP,1.498196
SLE,21.058193
SLL,21128.606419
SOS,618.38862
SRD,34.806615
STD,22513.230243
SVC,9.519803
SYP,2732.698342
SZL,18.710478
THB,35.735903
TJS,11.178943
TMT,3.806956
TND,3.360633
TOP,2.515311
TRY,20.464581
TTD,7.384823
TWD,32.922016
TZS,2544.454207
UAH,39.977672
UGX,4009.238202
USD,1.087702
UYU,42.545589
UZS,12332.170288
VEF,2317379.658102
VES,23.197743
VND,25525.640908
VUV,125.204433
WST,2.888526
XAF,656.012338
XAG,0.045861
XAU,0.000563
XCD,2.939569
XDR,0.804368
XOF,656.012338
XPF,119.919466
YER,272.306357
ZAR,18.697734
ZMK,9790.621615
ZMW,20.584536
ZWL,350.239521
